Source_IP,Destination_IP,Port,Request_Type,Protocol,Payload_Size,User_Agent,Status,Intrusion,Scan_Type
192.168.240.40,214.183.156.141,22,HTTPS,TCP,2550,nmap/7.80,Success,0,Normal
192.168.173.206,91.203.250.223,443,FTP,TCP,1124,Mozilla/5.0,Success,0,Normal
192.168.75.104,108.165.240.31,53,HTTPS,UDP,848,Wget/1.20.3,Success,0,Normal
192.168.189.211,143.153.44.84,25,SSH,UDP,2538,Nikto/2.1.6,Success,0,Normal
192.168.41.133,196.10.61.102,21,FTP,TCP,1235,curl/7.68.0,Success,0,Normal
33.5.52.172,214.202.247.199,135,Telnet,ICMP,3649,Nikto/2.1.6,Failure,1,BotAttack
192.168.149.67,22.21.70.192,443,Telnet,ICMP,1037,Nikto/2.1.6,Success,0,Normal
192.168.67.220,138.76.134.116,80,HTTP,TCP,375,curl/7.68.0,Success,0,Normal
192.168.119.10,104.38.30.69,53,SMTP,TCP,2413,Nikto/2.1.6,Success,0,Normal
192.168.100.50,200.192.133.129,22,SSH,UDP,1520,curl/7.68.0,Failure,0,Normal
192.168.142.216,167.101.121.125,21,SSH,ICMP,2674,python-requests/2.25.1,Success,0,Normal
192.168.135.133,106.179.29.146,22,FTP,UDP,2212,curl/7.68.0,Success,0,Normal
192.168.210.205,47.78.72.7,25,HTTPS,ICMP,210,curl/7.68.0,Success,0,Normal
192.168.110.217,66.199.186.119,22,SMTP,TCP,2389,Wget/1.20.3,Success,0,Normal
192.168.196.176,145.71.17.174,25,HTTP,UDP,2945,Wget/1.20.3,Success,0,Normal
192.168.0.83,149.230.142.13,53,HTTP,TCP,2000,curl/7.68.0,Success,0,Normal
192.168.200.107,205.3.14.37,21,FTP,ICMP,471,python-requests/2.25.1,Failure,0,Normal
192.168.8.174,208.109.61.241,53,SSH,ICMP,965,Mozilla/5.0,Success,0,Normal
192.168.191.193,161.18.6.19,25,HTTPS,TCP,1677,Mozilla/5.0,Success,0,Normal
192.168.172.29,183.99.119.110,53,SMTP,UDP,1823,python-requests/2.25.1,Success,0,Normal
192.168.185.162,187.147.179.150,25,Telnet,ICMP,2926,Mozilla/5.0,Success,0,Normal
192.168.221.61,208.177.195.52,80,HTTPS,UDP,2076,Mozilla/5.0,Success,0,Normal
192.168.167.98,43.32.90.72,53,SMTP,UDP,470,Nikto/2.1.6,Success,0,Normal
192.168.213.178,122.235.252.178,443,Telnet,UDP,786,curl/7.68.0,Success,0,Normal
192.168.239.189,180.179.235.78,80,DNS,UDP,1863,curl/7.68.0,Success,0,Normal
192.168.66.115,188.187.172.30,53,DNS,ICMP,2900,curl/7.68.0,Success,0,Normal
192.168.33.229,137.214.173.202,22,HTTPS,UDP,1269,curl/7.68.0,Success,0,Normal
192.168.64.249,138.192.216.32,22,HTTPS,UDP,1955,Nikto/2.1.6,Success,0,Normal
192.168.180.197,107.21.252.239,22,DNS,ICMP,2868,curl/7.68.0,Failure,0,Normal
192.168.89.204,218.138.147.232,80,DNS,UDP,1023,curl/7.68.0,Success,0,Normal
192.168.52.104,93.141.250.130,53,DNS,ICMP,2845,Nikto/2.1.6,Success,0,Normal
192.168.134.161,174.135.189.15,21,HTTP,ICMP,886,curl/7.68.0,Success,0,Normal
192.168.243.39,210.203.141.134,53,FTP,ICMP,1866,python-requests/2.25.1,Success,0,Normal
205.176.120.255,214.57.26.16,4444,Telnet,UDP,174,Wget/1.20.3,Failure,1,PortScan
154.113.2.100,204.211.231.249,6667,HTTPS,TCP,4164,curl/7.68.0,Success,1,BotAttack
192.168.212.193,158.255.197.27,443,SMTP,TCP,2594,Wget/1.20.3,Success,0,Normal
192.168.16.136,23.194.36.226,443,SMTP,TCP,2759,Mozilla/5.0,Success,0,Normal
192.168.135.246,12.180.75.172,80,DNS,ICMP,1982,Wget/1.20.3,Success,0,Normal
192.168.161.35,142.99.90.105,80,HTTP,UDP,1483,python-requests/2.25.1,Success,0,Normal
192.168.73.4,85.219.162.40,22,DNS,TCP,2186,python-requests/2.25.1,Success,0,Normal
192.168.244.91,183.244.229.79,22,HTTP,ICMP,1728,python-requests/2.25.1,Success,0,Normal
192.168.164.76,85.109.202.178,21,FTP,ICMP,616,nmap/7.80,Success,0,Normal
192.168.11.11,13.76.80.111,21,Telnet,TCP,1578,curl/7.68.0,Success,0,Normal
192.168.239.8,96.74.209.94,443,DNS,TCP,2756,nmap/7.80,Success,0,Normal
192.168.190.28,199.127.172.21,80,HTTPS,ICMP,2737,Wget/1.20.3,Success,0,Normal
192.168.183.36,200.34.159.199,21,DNS,ICMP,2196,Nikto/2.1.6,Success,0,Normal
192.168.28.131,73.38.102.121,25,FTP,TCP,489,Mozilla/5.0,Success,0,Normal
192.168.176.154,150.40.121.130,21,Telnet,ICMP,1756,nmap/7.80,Success,0,Normal
192.168.173.219,128.49.211.27,443,HTTP,ICMP,2167,curl/7.68.0,Success,0,Normal
192.168.229.106,167.250.64.179,80,FTP,UDP,2807,curl/7.68.0,Success,0,Normal
192.168.255.79,180.76.51.97,21,SSH,TCP,2272,curl/7.68.0,Success,0,Normal
192.168.38.101,157.53.225.200,80,SSH,ICMP,2699,Mozilla/5.0,Success,0,Normal
192.168.217.45,202.135.148.107,22,SMTP,ICMP,1493,Wget/1.20.3,Success,0,Normal
192.168.232.28,194.21.156.0,21,SSH,TCP,1145,Wget/1.20.3,Success,0,Normal
192.168.193.104,128.200.164.63,443,HTTP,UDP,1097,Wget/1.20.3,Success,0,Normal
94.40.34.8,214.247.57.212,4444,SMTP,ICMP,65,python-requests/2.25.1,Failure,1,PortScan
192.168.220.201,198.128.255.124,53,DNS,UDP,1167,python-requests/2.25.1,Success,0,Normal
192.168.106.123,120.244.147.21,25,SSH,TCP,1291,curl/7.68.0,Success,0,Normal
192.168.134.153,167.61.4.77,443,HTTP,ICMP,724,curl/7.68.0,Success,0,Normal
192.168.243.173,172.124.31.131,25,DNS,TCP,1411,python-requests/2.25.1,Success,0,Normal
192.168.144.179,131.212.115.70,80,DNS,TCP,1088,Mozilla/5.0,Success,0,Normal
192.168.232.170,111.161.156.219,80,SSH,TCP,1188,Nikto/2.1.6,Success,0,Normal
192.168.39.221,28.193.139.197,53,DNS,UDP,1856,Wget/1.20.3,Success,0,Normal
192.168.156.198,111.32.211.124,22,Telnet,TCP,808,nmap/7.80,Success,0,Normal
192.168.62.5,209.162.18.217,22,SMTP,ICMP,2814,curl/7.68.0,Success,0,Normal
219.110.174.163,137.125.149.166,23,FTP,ICMP,34,nmap/7.80,Failure,1,PortScan
214.63.186.119,201.64.61.57,135,HTTP,TCP,1903,curl/7.68.0,Failure,1,BotAttack
201.232.85.16,32.250.183.150,23,DNS,ICMP,42,nmap/7.80,Failure,1,PortScan
192.168.23.114,136.106.109.17,21,HTTPS,ICMP,843,nmap/7.80,Success,0,Normal
192.168.172.11,166.38.93.60,21,Telnet,UDP,2900,Nikto/2.1.6,Success,0,Normal
192.168.237.141,105.197.228.179,22,SSH,UDP,1074,Nikto/2.1.6,Success,0,Normal
192.168.64.172,177.151.57.78,25,HTTPS,UDP,1507,python-requests/2.25.1,Success,0,Normal
192.168.97.79,214.82.26.45,22,DNS,ICMP,1838,curl/7.68.0,Success,0,Normal
192.168.107.29,216.115.222.128,21,FTP,UDP,263,nmap/7.80,Success,0,Normal
192.168.198.75,29.43.180.158,53,SMTP,TCP,2718,Mozilla/5.0,Success,0,Normal
216.181.134.4,171.149.47.196,23,HTTPS,TCP,2134,nmap/7.80,Failure,1,BotAttack
192.168.247.14,210.64.41.221,53,SSH,UDP,1975,Nikto/2.1.6,Success,0,Normal
192.168.255.162,149.129.237.56,53,SMTP,TCP,1154,curl/7.68.0,Success,0,Normal
201.232.85.16,146.14.204.87,4444,HTTP,UDP,73,Nikto/2.1.6,Failure,1,PortScan
192.168.193.4,184.175.148.43,21,Telnet,UDP,2276,curl/7.68.0,Success,0,Normal
192.168.91.242,134.186.76.171,25,HTTP,TCP,1586,nmap/7.80,Success,0,Normal
192.168.95.142,58.101.43.194,443,SSH,TCP,1231,Mozilla/5.0,Success,0,Normal
192.168.67.172,168.224.49.195,22,SSH,ICMP,497,Wget/1.20.3,Success,0,Normal
192.168.201.72,96.108.29.76,22,Telnet,UDP,2392,python-requests/2.25.1,Success,0,Normal
192.168.227.164,85.163.247.184,25,Telnet,UDP,1147,Wget/1.20.3,Success,0,Normal
201.232.85.16,159.158.168.184,31337,Telnet,ICMP,2,nmap/7.80,Failure,1,PortScan
192.168.229.1,221.60.240.157,443,SMTP,TCP,1737,python-requests/2.25.1,Success,0,Normal
192.168.172.50,193.133.55.158,80,FTP,ICMP,215,curl/7.68.0,Success,0,Normal
192.233.64.172,23.64.164.135,135,HTTP,UDP,2835,curl/7.68.0,Success,1,BotAttack
192.168.19.108,79.210.186.245,21,SSH,ICMP,2784,nmap/7.80,Success,0,Normal
192.168.93.130,207.84.6.189,22,HTTP,UDP,618,Nikto/2.1.6,Success,0,Normal
192.168.72.218,163.197.165.183,80,HTTP,ICMP,1902,nmap/7.80,Success,0,Normal
192.168.7.237,28.142.222.170,80,DNS,TCP,831,python-requests/2.25.1,Success,0,Normal
192.168.53.134,29.175.193.227,25,Telnet,ICMP,1582,Mozilla/5.0,Success,0,Normal
192.168.24.155,192.249.129.242,22,HTTPS,TCP,469,Wget/1.20.3,Success,0,Normal
192.168.104.49,141.135.55.76,21,SSH,UDP,1764,Nikto/2.1.6,Success,0,Normal
192.233.64.172,167.248.24.157,6667,HTTPS,ICMP,1930,Mozilla/5.0,Failure,1,BotAttack
192.168.196.207,138.202.170.118,21,SMTP,UDP,2377,Nikto/2.1.6,Failure,0,Normal
192.168.121.138,134.84.76.30,25,Telnet,ICMP,552,Nikto/2.1.6,Success,0,Normal
192.168.44.34,94.78.125.35,21,Telnet,UDP,2784,python-requests/2.25.1,Success,0,Normal
192.168.220.198,102.19.187.25,443,HTTPS,UDP,722,curl/7.68.0,Success,0,Normal
192.168.182.205,70.132.100.208,22,SMTP,ICMP,940,Wget/1.20.3,Success,0,Normal
192.168.236.47,191.127.77.169,22,SSH,TCP,1066,Wget/1.20.3,Success,0,Normal
192.168.52.145,142.211.138.161,443,DNS,TCP,962,Mozilla/5.0,Success,0,Normal
192.168.225.6,47.123.166.68,53,SMTP,TCP,2721,Wget/1.20.3,Success,0,Normal
192.168.208.18,53.176.131.192,443,SSH,ICMP,2049,python-requests/2.25.1,Success,0,Normal
192.168.235.31,185.255.13.77,25,SSH,ICMP,1843,curl/7.68.0,Success,0,Normal
192.168.12.97,24.28.197.16,21,SSH,ICMP,324,nmap/7.80,Success,0,Normal
192.168.171.77,131.27.150.94,80,SSH,ICMP,1349,Wget/1.20.3,Success,0,Normal
192.168.53.236,143.143.251.198,21,Telnet,TCP,1952,Wget/1.20.3,Failure,0,Normal
192.168.105.142,195.188.222.89,80,SMTP,ICMP,2651,curl/7.68.0,Success,0,Normal
192.168.37.6,204.160.110.231,53,SMTP,ICMP,2841,Wget/1.20.3,Success,0,Normal
192.168.110.152,132.178.129.79,22,SMTP,UDP,259,Wget/1.20.3,Success,0,Normal
192.168.8.177,123.107.9.36,443,HTTP,TCP,1147,nmap/7.80,Success,0,Normal
192.168.200.159,54.110.86.11,53,HTTPS,ICMP,2012,curl/7.68.0,Success,0,Normal
192.168.144.182,8.159.26.231,22,SSH,ICMP,2955,curl/7.68.0,Success,0,Normal
192.168.75.112,210.173.167.79,53,SSH,ICMP,1766,Mozilla/5.0,Success,0,Normal
192.168.135.170,210.114.135.79,80,SSH,UDP,403,curl/7.68.0,Success,0,Normal
192.168.90.165,141.251.198.0,80,Telnet,TCP,426,Wget/1.20.3,Success,0,Normal
192.168.213.48,16.86.5.112,53,Telnet,ICMP,1677,Mozilla/5.0,Success,0,Normal
192.168.171.24,192.115.109.146,443,Telnet,TCP,1015,python-requests/2.25.1,Success,0,Normal
192.168.63.109,40.73.9.203,53,DNS,UDP,2130,Wget/1.20.3,Success,0,Normal
192.168.234.122,123.156.108.187,21,HTTPS,TCP,630,Wget/1.20.3,Success,0,Normal
192.168.167.2,151.128.193.210,443,SSH,TCP,521,curl/7.68.0,Success,0,Normal
192.168.123.34,135.20.31.144,443,Telnet,ICMP,1499,Mozilla/5.0,Success,0,Normal
192.168.140.22,167.86.131.222,22,SMTP,TCP,1582,nmap/7.80,Success,0,Normal
192.168.38.67,210.100.235.76,80,DNS,ICMP,210,Mozilla/5.0,Success,0,Normal
192.168.198.83,203.87.200.252,21,DNS,ICMP,1008,curl/7.68.0,Success,0,Normal
192.168.29.197,30.228.158.63,22,SMTP,UDP,624,Wget/1.20.3,Success,0,Normal
192.168.115.44,32.113.205.52,21,HTTP,ICMP,1580,Wget/1.20.3,Success,0,Normal
192.168.93.222,41.164.2.180,25,SSH,ICMP,1044,Wget/1.20.3,Success,0,Normal
192.168.82.252,119.137.57.99,443,Telnet,UDP,454,python-requests/2.25.1,Success,0,Normal
192.168.1.25,89.91.30.140,25,HTTP,ICMP,1682,Wget/1.20.3,Success,0,Normal
192.168.201.25,134.53.151.129,21,SMTP,UDP,2680,python-requests/2.25.1,Success,0,Normal
192.168.144.66,108.87.30.66,53,SSH,TCP,2452,python-requests/2.25.1,Success,0,Normal
192.168.5.118,35.42.89.56,22,FTP,ICMP,2807,Wget/1.20.3,Success,0,Normal
192.168.86.94,168.151.0.132,21,Telnet,TCP,1226,curl/7.68.0,Success,0,Normal
192.168.208.154,154.145.52.135,21,HTTPS,TCP,1979,curl/7.68.0,Success,0,Normal
192.168.188.2,139.193.194.15,21,DNS,ICMP,1884,python-requests/2.25.1,Success,0,Normal
192.168.249.77,128.108.225.222,80,DNS,UDP,1831,nmap/7.80,Success,0,Normal
192.168.212.211,210.243.236.177,443,FTP,TCP,2324,curl/7.68.0,Failure,0,Normal
192.168.177.140,180.2.59.3,25,HTTP,ICMP,590,Nikto/2.1.6,Success,0,Normal
192.168.48.81,5.185.162.87,22,SSH,UDP,1733,Nikto/2.1.6,Failure,0,Normal
192.168.77.119,207.188.170.151,53,FTP,ICMP,896,curl/7.68.0,Success,0,Normal
192.168.207.3,54.110.195.179,80,Telnet,ICMP,2562,nmap/7.80,Success,0,Normal
192.168.82.184,197.44.192.164,21,DNS,ICMP,2575,Nikto/2.1.6,Success,0,Normal
192.168.77.110,129.18.175.13,443,DNS,ICMP,202,python-requests/2.25.1,Failure,0,Normal
192.168.250.207,120.138.192.16,80,HTTP,TCP,679,curl/7.68.0,Success,0,Normal
192.168.85.103,49.73.123.81,22,HTTPS,UDP,810,Wget/1.20.3,Success,0,Normal
192.168.45.102,193.173.37.103,25,HTTP,ICMP,2479,curl/7.68.0,Failure,0,Normal
192.168.71.194,100.51.192.162,25,SMTP,TCP,851,curl/7.68.0,Success,0,Normal
192.168.131.4,196.244.64.109,443,HTTP,ICMP,2623,nmap/7.80,Success,0,Normal
192.168.9.83,34.34.24.222,53,DNS,ICMP,248,nmap/7.80,Success,0,Normal
192.168.211.161,129.238.149.181,25,DNS,TCP,2355,Mozilla/5.0,Success,0,Normal
192.168.94.195,139.218.11.248,22,DNS,UDP,1720,curl/7.68.0,Success,0,Normal
192.168.157.12,175.114.66.182,80,FTP,TCP,231,nmap/7.80,Success,0,Normal
192.168.243.227,223.120.62.120,21,FTP,TCP,1503,Nikto/2.1.6,Success,0,Normal
192.168.156.156,206.89.49.66,53,HTTPS,UDP,2277,Wget/1.20.3,Success,0,Normal
190.68.147.22,111.42.45.81,8080,HTTP,UDP,5,Nikto/2.1.6,Failure,1,PortScan
192.168.43.179,3.78.63.152,22,HTTPS,ICMP,2805,curl/7.68.0,Success,0,Normal
192.168.34.49,5.141.242.55,80,Telnet,TCP,2451,Nikto/2.1.6,Success,0,Normal
192.233.64.172,45.87.214.230,31337,SSH,UDP,650,Mozilla/5.0,Failure,1,BotAttack
192.168.246.164,56.39.60.120,80,HTTPS,UDP,2930,python-requests/2.25.1,Success,0,Normal
192.168.59.4,165.193.145.117,80,HTTPS,TCP,266,curl/7.68.0,Success,0,Normal
192.168.3.236,130.179.180.51,443,SMTP,TCP,678,curl/7.68.0,Success,0,Normal
192.168.46.165,186.38.33.63,22,FTP,ICMP,1762,curl/7.68.0,Success,0,Normal
192.168.212.157,53.46.212.186,443,Telnet,ICMP,837,Mozilla/5.0,Success,0,Normal
192.168.49.85,17.196.249.225,80,Telnet,UDP,2256,nmap/7.80,Success,0,Normal
192.168.150.92,31.103.186.52,443,DNS,TCP,1080,nmap/7.80,Success,0,Normal
192.168.78.133,41.241.81.78,80,HTTPS,UDP,2661,Nikto/2.1.6,Success,0,Normal
192.168.149.145,154.22.98.25,443,Telnet,UDP,2100,nmap/7.80,Success,0,Normal
192.168.193.197,185.66.128.187,80,Telnet,ICMP,2707,python-requests/2.25.1,Success,0,Normal
192.168.46.38,187.99.134.67,22,SSH,ICMP,1642,nmap/7.80,Success,0,Normal
192.168.255.159,220.115.41.251,53,HTTP,UDP,392,Nikto/2.1.6,Success,0,Normal
192.168.109.221,56.134.186.149,25,HTTPS,ICMP,2609,python-requests/2.25.1,Success,0,Normal
192.168.142.37,219.173.220.204,22,SSH,TCP,2202,Nikto/2.1.6,Success,0,Normal
192.168.32.116,214.7.243.120,443,HTTPS,TCP,386,Wget/1.20.3,Success,0,Normal
192.168.104.193,196.122.254.73,21,HTTP,ICMP,619,python-requests/2.25.1,Success,0,Normal
192.168.45.34,196.211.117.28,80,FTP,TCP,2073,curl/7.68.0,Success,0,Normal
192.168.99.2,136.88.39.12,22,SMTP,UDP,1032,Mozilla/5.0,Success,0,Normal
192.168.91.248,107.83.62.25,22,HTTPS,TCP,2747,Nikto/2.1.6,Success,0,Normal
192.168.255.123,211.202.65.151,53,FTP,ICMP,2826,Nikto/2.1.6,Success,0,Normal
192.168.45.94,60.183.202.197,21,SSH,UDP,421,nmap/7.80,Success,0,Normal
192.168.148.164,100.6.189.73,443,HTTPS,TCP,1452,Wget/1.20.3,Success,0,Normal
192.168.41.39,187.69.15.71,443,SMTP,UDP,2154,Mozilla/5.0,Success,0,Normal
192.168.228.115,181.88.164.236,80,SSH,UDP,1514,Mozilla/5.0,Success,0,Normal
192.168.116.153,199.185.204.58,22,SSH,ICMP,2643,nmap/7.80,Success,0,Normal
192.233.64.172,175.88.69.105,8080,DNS,TCP,2018,Nikto/2.1.6,Failure,1,BotAttack
192.168.16.171,3.55.149.145,443,SMTP,UDP,1112,Wget/1.20.3,Success,0,Normal
192.168.231.50,4.44.132.48,53,FTP,ICMP,2774,curl/7.68.0,Success,0,Normal
192.168.208.139,217.1.212.17,443,HTTPS,ICMP,871,python-requests/2.25.1,Success,0,Normal
192.168.161.202,219.44.34.113,21,Telnet,TCP,1878,python-requests/2.25.1,Success,0,Normal
192.168.172.199,3.203.62.42,53,HTTP,ICMP,1955,Nikto/2.1.6,Success,0,Normal
192.168.66.129,16.101.105.42,80,FTP,TCP,1867,python-requests/2.25.1,Success,0,Normal
192.168.92.140,129.179.60.236,80,SSH,UDP,1543,Mozilla/5.0,Success,0,Normal
192.168.117.71,38.200.55.248,80,HTTP,ICMP,1845,Nikto/2.1.6,Success,0,Normal
192.168.79.171,211.226.32.91,53,SMTP,ICMP,2330,Nikto/2.1.6,Success,0,Normal
192.168.128.230,3.120.122.102,80,SMTP,ICMP,1540,curl/7.68.0,Success,0,Normal
192.168.246.4,189.10.66.58,25,Telnet,UDP,1983,Nikto/2.1.6,Success,0,Normal
192.168.231.178,221.204.186.134,443,DNS,TCP,2624,Wget/1.20.3,Failure,0,Normal
192.168.91.220,45.141.190.42,22,Telnet,UDP,2900,Wget/1.20.3,Success,0,Normal
192.168.153.94,70.85.119.195,53,SMTP,TCP,935,Nikto/2.1.6,Success,0,Normal
219.110.174.163,165.112.253.181,31337,DNS,UDP,179,Mozilla/5.0,Failure,1,PortScan
192.168.93.124,214.45.154.225,21,SSH,ICMP,2531,curl/7.68.0,Success,0,Normal
192.168.233.96,13.141.226.62,25,DNS,TCP,2725,Nikto/2.1.6,Success,0,Normal
197.134.233.238,78.23.220.2,31337,Telnet,TCP,2525,curl/7.68.0,Failure,1,BotAttack
192.168.132.161,155.23.154.96,80,FTP,ICMP,1728,Nikto/2.1.6,Success,0,Normal
192.168.186.236,202.93.119.106,80,Telnet,TCP,1043,Mozilla/5.0,Failure,0,Normal
192.168.87.137,167.140.34.110,80,HTTP,ICMP,774,nmap/7.80,Failure,0,Normal
192.168.213.17,54.135.25.59,443,HTTP,ICMP,2827,Nikto/2.1.6,Success,0,Normal
192.168.76.65,169.240.63.90,443,DNS,ICMP,488,Wget/1.20.3,Success,0,Normal
